timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.4689367,333,145,73,56,720.2,0.0
1779315989.565799,333,145,73,56,700.26,0.0
1779315989.66578,333,145,73,56,754.69,0.0
1779315989.7657862,334,145,72,56,797.71,0.0
1779315989.8657954,334,145,72,56,840.11,0.0
1779315989.965803,334,145,72,56,832.93,0.0
1779315990.0657732,334,146,72,56,823.04,0.0
1779315990.1657805,334,146,71,56,872.61,0.0
1779315990.2657778,334,147,71,56,838.98,0.0
1779315990.3658004,334,147,71,56,839.2,0.0
1779315990.4657946,334,147,70,56,886.09,0.0
1779315990.5689254,333,148,70,55,847.57,0.0
1779315990.6657972,333,148,69,55,898.29,0.0
1779315990.7658067,333,149,69,55,890.35,0.0
1779315990.8657906,333,149,69,56,897.53,0.0
1779315990.9657888,332,149,69,55,955.92,0.0
1779315991.0657752,332,150,68,56,899.37,0.0
1779315991.1657817,331,150,68,56,915.68,0.0
1779315991.2657843,331,150,68,56,956.79,0.0
1779315991.3657937,331,151,68,56,964.79,0.0
1779315991.4657948,330,151,68,56,890.43,0.0
1779315991.5657957,330,151,68,56,848.18,0.0
1779315991.6657887,329,151,67,56,876.8,0.0
1779315991.7657816,329,152,67,56,839.21,0.0
1779315991.8673728,329,152,67,56,815.54,0.0
1779315991.9657938,329,152,67,56,758.88,0.0
1779315992.0657923,329,152,67,56,811.06,0.0
1779315992.165798,329,153,66,56,821.76,0.0
1779315992.2658086,329,153,66,56,806.98,0.0
1779315992.3657851,329,153,66,56,862.25,0.0
1779315992.4657786,329,153,66,56,884.01,0.0
1779315992.5681953,329,154,67,56,867.52,0.0
1779315992.6657882,329,154,67,55,925.52,0.0
1779315992.765795,330,154,67,56,932.18,0.0
1779315992.8658435,330,155,67,55,994.84,0.0
1779315992.9676225,330,154,67,56,935.29,0.0
1779315993.0657852,330,154,67,56,960.34,0.0
1779315993.1679697,331,154,67,56,774.11,0.0
1779315993.2688308,331,154,67,55,803.93,0.0
1779315993.365792,331,153,66,55,798.08,0.0
1779315993.465792,331,153,66,55,854.54,0.0
1779315993.5657988,331,153,66,55,842.89,0.0
