stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778699290.148332,0,0.984718,0.999821,0.984542,1.0872,-0.0127,1.2497,0.000,-0.649,-171.382,0,0,304,233,97,111
1778699290.148332,1,0.952922,0.913671,0.870658,1.0668,-0.4756,1.3026,0.000,-8.683,151.131,0,0,566,202,114,114
1778699290.148332,2,0.959697,0.893441,0.857432,0.9567,0.4046,1.3586,0.000,1.707,-141.246,0,0,39,156,79,132
1778699290.148332,0,0.985043,0.999858,0.984903,1.0872,-0.0127,1.2497,0.000,-0.649,-171.382,0,0,305,234,96,110
1778699290.148332,1,0.956219,0.913592,0.873594,1.0668,-0.4756,1.3026,0.000,-8.683,151.131,0,0,566,201,113,115
1778699290.148332,2,0.954623,0.893441,0.852899,0.9567,0.4046,1.3586,0.000,1.707,-141.246,0,0,39,156,78,130
1778699290.215070,0,0.983266,0.999858,0.983127,1.0904,-0.0145,1.2482,0.000,-0.275,-171.229,0,0,305,233,96,111
1778699290.215070,1,0.955149,0.913592,0.872616,1.0667,-0.4756,1.3044,-0.000,-7.576,150.057,0,0,566,201,114,117
1778699290.215070,2,0.965257,0.893441,0.862401,0.9548,0.4037,1.3582,-0.000,1.068,-140.471,0,0,39,156,78,130
1778699290.315177,0,0.982239,0.999852,0.982094,1.0904,-0.0145,1.2482,0.000,-1.341,-171.391,0,0,305,233,96,111
1778699290.315177,1,0.953446,0.913671,0.871137,1.0637,-0.4743,1.3039,0.000,-7.952,150.499,0,0,566,202,114,115
1778699290.315177,2,0.960027,0.893614,0.857894,0.9548,0.4037,1.3582,0.000,1.790,-142.768,0,0,39,157,78,130
1778699290.448638,0,0.982302,0.999852,0.982156,1.0872,-0.0145,1.2497,0.000,-1.163,-170.915,0,0,305,233,96,111
1778699290.448638,1,0.952671,0.913592,0.870352,1.0667,-0.4756,1.3044,0.000,-8.636,151.112,0,0,566,201,113,117
1778699290.448638,2,0.957940,0.893441,0.855863,0.9548,0.4037,1.3582,0.000,1.804,-140.699,0,0,39,156,78,132
1778699290.448638,0,0.981894,0.999852,0.981749,1.0872,-0.0145,1.2497,-0.000,-1.280,-170.853,0,0,305,233,96,111
1778699290.448638,1,0.946527,0.913592,0.864739,1.0667,-0.4756,1.3044,-0.000,-9.604,150.416,0,0,566,201,115,117
1778699290.448638,2,0.960089,0.893441,0.857783,0.9548,0.4037,1.3582,0.000,1.657,-141.397,0,0,38,156,77,129
1778699290.615484,0,0.982948,0.999852,0.982802,1.0872,-0.0145,1.2497,0.000,-0.974,-171.014,0,0,305,233,96,113
1778699290.615484,1,0.950925,0.913671,0.868833,1.0668,-0.4756,1.3026,-0.000,-9.064,151.103,0,0,566,202,114,114
1778699290.615484,2,0.959252,0.893266,0.856867,0.9517,0.4022,1.3590,-0.000,2.171,-140.806,0,0,39,155,78,133
1778699290.615484,0,0.981705,0.999852,0.981559,1.0872,-0.0145,1.2497,0.000,-0.974,-171.014,0,0,305,233,96,113
