stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778106780.219898,1,0.977633,0.628522,0.614464,0.8455,-0.3412,1.5655,0.000,17.926,167.682,0,0,522,63,120,127
1778106780.219898,2,0.991392,0.664108,0.658391,0.8254,-0.0477,1.4172,0.000,19.835,-173.223,0,0,327,153,108,126
1778106780.219898,0,0.998540,0.685908,0.684907,1.0034,0.2332,1.5868,0.000,21.956,-162.129,0,0,165,95,106,121
1778106780.353374,1,0.977396,0.629703,0.615469,0.8485,-0.3407,1.5655,0.000,17.999,168.037,0,0,521,64,122,128
1778106780.353374,2,0.992252,0.663073,0.657936,0.8233,-0.0491,1.4179,0.000,19.628,-173.740,0,0,327,152,112,128
1778106780.353374,0,0.998914,0.685448,0.684704,1.0030,0.2332,1.5885,0.000,22.027,-163.000,0,0,165,95,106,121
1778106780.353374,1,0.976855,0.628619,0.614070,0.8485,-0.3407,1.5655,0.000,17.999,168.037,0,0,521,63,122,127
1778106780.353374,2,0.997434,0.663480,0.661778,0.8233,-0.0491,1.4179,0.000,19.628,-173.740,0,0,328,153,112,126
1778106780.353374,0,0.999135,0.685369,0.684776,1.0030,0.2332,1.5885,0.000,22.027,-163.000,0,0,164,95,106,121
1778106780.420114,1,0.977868,0.629010,0.615089,0.8455,-0.3397,1.5655,0.000,17.789,167.930,0,0,521,64,122,128
1778106780.420114,2,0.998133,0.663480,0.662241,0.8235,-0.0505,1.4165,-0.000,20.743,-177.211,0,0,328,153,108,128
1778106780.420114,0,0.999292,0.685369,0.684883,1.0030,0.2350,1.5885,0.000,22.644,-162.441,0,0,164,95,106,121
1778106780.553577,1,0.977291,0.628059,0.613797,0.8436,-0.3404,1.5645,0.000,18.629,168.546,0,0,522,63,120,127
1778106780.553577,2,0.982859,0.664847,0.653451,0.8267,-0.0463,1.4162,-0.000,22.539,-170.182,0,0,325,154,110,122
1778106780.553577,0,0.999543,0.684675,0.684363,1.0002,0.2359,1.5872,0.000,22.681,-163.881,0,0,163,95,106,121
1778106780.620316,1,0.976710,0.628619,0.613979,0.8455,-0.3397,1.5655,-0.000,18.372,168.602,0,0,521,63,120,127
1778106780.620316,2,0.998452,0.663963,0.662935,0.8261,-0.0491,1.4189,0.000,20.464,-178.012,0,0,327,152,112,124
1778106780.620316,0,0.996019,0.683522,0.680801,0.9971,0.2369,1.5876,0.000,22.253,-168.992,0,0,162,94,106,121
1778106780.620316,1,0.976690,0.628156,0.613514,0.8455,-0.3397,1.5655,-0.000,18.372,168.602,0,0,521,63,122,127
1778106780.620316,2,0.999687,0.663649,0.663442,0.8261,-0.0491,1.4189,0.000,20.464,-178.012,0,0,328,152,110,124
1778106780.620316,0,0.988237,0.682206,0.674181,0.9971,0.2369,1.5876,0.000,22.253,-168.992,0,0,161,94,105,120
1778106780.753804,1,0.975947,0.628156,0.613048,0.8436,-0.3389,1.5645,0.000,18.623,169.128,0,0,521,63,122,127
1778106780.753804,2,0.995460,0.663571,0.660558,0.8258,-0.0463,1.4203,0.000,20.072,-175.303,0,0,325,151,107,121
1778106780.753804,0,0.963058,0.682046,0.656849,0.9915,0.2406,1.5850,0.000,19.951,-179.851,0,0,159,94,104,120
1778106780.753804,1,0.977220,0.628156,0.613847,0.8436,-0.3389,1.5645,0.000,18.623,169.128,0,0,521,63,120,126
1778106780.753804,2,0.991973,0.664161,0.658830,0.8258,-0.0463,1.4203,0.000,20.072,-175.303,0,0,325,151,110,121
1778106780.753804,0,0.950830,0.681509,0.647999,0.9915,0.2406,1.5850,0.000,19.951,-179.851,0,0,158,93,106,124
1778106780.887264,1,0.977695,0.628156,0.614145,0.8436,-0.3389,1.5645,0.000,18.372,168.215,0,0,521,63,122,127
1778106780.887264,2,0.990828,0.664587,0.658491,0.8280,-0.0464,1.4196,-0.000,20.960,-172.927,0,0,325,152,110,120
1778106780.887264,0,0.947156,0.681588,0.645570,0.9936,0.2449,1.5897,0.000,19.528,177.079,0,0,157,92,105,124
1778106780.887264,1,0.977168,0.628156,0.613814,0.8436,-0.3389,1.5645,0.000,18.372,168.215,0,0,521,63,120,127
1778106780.887264,2,0.986146,0.664618,0.655410,0.8280,-0.0464,1.4196,-0.000,20.960,-172.927,0,0,323,152,113,122
1778106780.887264,0,0.943994,0.681427,0.643263,0.9936,0.2449,1.5897,0.000,19.528,177.079,0,0,157,93,105,122
1778106781.020750,1,0.979138,0.628156,0.615051,0.8436,-0.3389,1.5645,0.000,18.031,167.231,0,0,521,63,122,127
1778106781.020750,2,0.987428,0.664618,0.656263,0.8280,-0.0435,1.4196,0.000,21.693,-171.398,0,0,323,152,113,122
1778106781.020750,0,0.938120,0.679652,0.637595,0.9852,0.2441,1.5857,0.000,19.119,175.584,0,0,156,92,104,121
1778106781.087454,1,0.978543,0.627692,0.614224,0.8418,-0.3382,1.5635,0.000,17.884,167.321,0,0,521,63,122,127
1778106781.087454,2,0.986142,0.664618,0.655408,0.8280,-0.0435,1.4196,0.000,22.205,-171.013,0,0,323,152,113,122
1778106781.087454,0,0.934621,0.679570,0.635141,0.9852,0.2459,1.5857,0.000,19.176,175.020,0,0,155,92,105,121
1778106781.087454,1,0.976787,0.627692,0.613121,0.8418,-0.3382,1.5635,0.000,17.884,167.321,0,0,521,63,123,127
1778106781.087454,2,0.983033,0.663602,0.652342,0.8280,-0.0435,1.4196,0.000,22.205,-171.013,0,0,323,151,114,124
1778106781.087454,0,0.942181,0.680644,0.641290,0.9852,0.2459,1.5857,0.000,19.176,175.020,0,0,155,93,104,120
1778106781.154193,2,0.987063,0.664618,0.656020,0.8418,-0.3382,1.5635,0.000,17.534,167.665,0,0,323,152,113,124
1778106781.154193,1,0.977958,0.627692,0.613857,0.8258,-0.0435,1.4203,-0.000,21.886,-169.797,0,0,521,63,122,127
1778106781.154193,0,0.939875,0.681263,0.640302,0.9884,0.2467,1.5854,-0.000,19.519,176.275,0,0,155,93,104,118
1778106781.220928,2,0.985541,0.664027,0.654426,0.8280,-0.0435,1.4196,-0.000,21.575,-171.231,0,0,323,152,113,124
1778106781.220928,1,0.975518,0.628156,0.612778,0.8418,-0.3382,1.5635,0.000,18.007,167.714,0,0,521,63,123,127
1778106781.220928,0,0.947007,0.679570,0.643558,0.9912,0.2476,1.5867,0.000,18.987,176.032,0,0,155,92,105,122
1778106781.354403,2,0.991339,0.663571,0.657824,0.8258,-0.0463,1.4203,-0.000,21.837,-173.321,0,0,325,151,112,121
1778106781.354403,1,0.975646,0.627130,0.611857,0.8400,-0.3390,1.5625,-0.000,18.394,168.944,0,0,522,63,124,127
1778106781.354403,0,0.979642,0.680435,0.666582,0.9880,0.2415,1.5871,0.000,21.356,-175.643,0,0,158,92,106,121
1778106781.421136,2,0.988839,0.663571,0.656165,0.8258,-0.0463,1.4203,-0.000,21.953,-172.219,0,0,324,151,113,124
1778106781.421136,1,0.974617,0.627595,0.611665,0.8418,-0.3397,1.5635,0.000,18.244,169.178,0,0,522,63,123,127
1778106781.421136,0,0.989535,0.680889,0.673764,0.9884,0.2415,1.5854,0.000,21.635,-172.027,0,0,158,93,105,122
1778106781.421136,2,0.994513,0.664177,0.660532,0.8258,-0.0463,1.4203,-0.000,21.953,-172.219,0,0,326,152,114,122
1778106781.421136,1,0.974422,0.627595,0.611543,0.8418,-0.3397,1.5635,0.000,18.244,169.178,0,0,522,63,123,127
1778106781.421136,0,0.999852,0.681425,0.681324,0.9884,0.2415,1.5854,0.000,21.635,-172.027,0,0,159,94,107,120
1778106781.487880,1,0.973433,0.627130,0.610469,0.8277,-0.0450,1.4210,0.000,21.632,-174.874,0,0,523,63,123,126
1778106781.487880,2,0.997706,0.663979,0.662456,0.8418,-0.3397,1.5635,0.000,18.463,169.449,0,0,327,152,110,124
1778106781.487880,0,0.999902,0.681425,0.681358,0.9887,0.2397,1.5837,0.000,23.470,-163.789,0,0,160,94,108,121
1778106781.554613,1,0.971735,0.627498,0.609762,0.8418,-0.3412,1.5635,0.000,18.442,170.261,0,0,523,63,123,126
1778106781.554613,2,0.991582,0.664554,0.658959,0.8280,-0.0492,1.4196,0.000,21.822,-173.679,0,0,325,152,113,125
1778106781.554613,0,0.999795,0.680256,0.680117,0.9831,0.2364,1.5810,-0.000,23.412,-164.320,0,0,160,94,107,120
1778106781.554613,1,0.972708,0.627962,0.610824,0.8418,-0.3412,1.5635,0.000,18.442,170.261,0,0,523,63,123,126
1778106781.554613,2,0.984270,0.664587,0.654133,0.8280,-0.0492,1.4196,0.000,21.822,-173.679,0,0,324,152,113,122
1778106781.554613,0,0.999097,0.680882,0.680267,0.9831,0.2364,1.5810,-0.000,23.412,-164.320,0,0,161,93,108,121
1778106781.688090,1,0.974566,0.627498,0.611539,0.8418,-0.3412,1.5635,0.000,18.263,169.133,0,0,523,62,123,125
1778106781.688090,2,0.994764,0.665192,0.661710,0.8299,-0.0450,1.4203,0.000,21.418,-174.998,0,0,326,152,112,124
1778106781.688090,0,0.999062,0.680506,0.679868,0.9856,0.2354,1.5840,0.000,22.537,-162.311,0,0,161,93,107,121
1778106781.788172,1,0.974072,0.627962,0.611680,0.8436,-0.3419,1.5645,0.000,18.478,169.504,0,0,523,63,123,126
1778106781.788172,2,0.992758,0.664571,0.659758,0.8280,-0.0478,1.4196,0.000,21.773,-174.161,0,0,326,152,112,124
1778106781.788172,0,0.997513,0.681208,0.679514,0.9884,0.2345,1.5854,0.000,24.396,-159.535,0,0,162,93,108,122
1778106781.788172,1,0.973100,0.627962,0.611069,0.8436,-0.3419,1.5645,0.000,18.163,169.559,0,0,524,62,123,125
1778106781.788172,2,0.987935,0.664571,0.656553,0.8280,-0.0478,1.4196,0.000,20.929,-171.796,0,0,325,152,112,124
1778106781.788172,0,0.996185,0.681208,0.678610,0.9884,0.2345,1.5854,0.000,23.403,-158.644,0,0,162,93,108,122
1778106781.921644,1,0.972670,0.627475,0.610325,0.8433,-0.3434,1.5659,0.000,18.180,169.561,0,0,524,62,123,125
1778106781.921644,2,0.995354,0.664554,0.661466,0.8280,-0.0492,1.4196,-0.000,20.329,-175.471,0,0,327,152,112,126
1778106781.921644,0,0.997165,0.681208,0.679277,0.9884,0.2345,1.5854,0.000,23.985,-159.282,0,0,162,93,108,122
1778106781.921644,1,0.992989,0.664554,0.659895,0.8280,-0.0492,1.4196,-0.000,20.888,-174.184,0,0,326,151,112,125
1778106781.921644,2,0.974693,0.627475,0.611595,0.8433,-0.3434,1.5659,-0.000,18.117,168.782,0,0,524,63,123,126
1778106781.921644,0,0.996963,0.681208,0.679139,0.9884,0.2345,1.5854,-0.000,23.360,-159.268,0,0,163,93,108,122
1778106782.021724,2,0.995073,0.664145,0.660873,0.8277,-0.0478,1.4210,0.000,19.933,-175.164,0,0,327,152,110,124
1778106782.021724,1,0.975887,0.627864,0.612724,0.8436,-0.3434,1.5645,0.000,17.897,168.196,0,0,525,63,124,126
1778106782.021724,0,0.996339,0.681908,0.679411,0.9912,0.2336,1.5867,-0.000,22.757,-159.102,0,0,163,92,108,121
1778106782.021724,2,0.973096,0.627766,0.610877,0.8277,-0.0478,1.4210,0.000,19.933,-175.164,0,0,525,63,124,126
1778106782.021724,1,0.991314,0.664554,0.658781,0.8436,-0.3434,1.5645,0.000,17.897,168.196,0,0,326,152,110,124
1778106782.021724,0,0.996548,0.680831,0.678481,0.9912,0.2336,1.5867,-0.000,22.757,-159.102,0,0,164,92,108,121
1778106782.155184,1,0.973850,0.628228,0.611800,0.8455,-0.3456,1.5655,-0.000,17.713,168.698,0,0,525,62,123,125
1778106782.155184,2,0.987033,0.664571,0.655953,0.8280,-0.0478,1.4196,0.000,22.210,-171.679,0,0,325,153,110,124
1778106782.155184,0,0.996371,0.680909,0.678438,0.9880,0.2310,1.5871,0.000,23.009,-159.152,0,0,165,92,107,122
1778106782.155184,1,0.974421,0.628527,0.612450,0.8455,-0.3456,1.5655,-0.000,17.713,168.698,0,0,525,63,123,126
1778106782.155184,2,0.998065,0.665013,0.663726,0.8280,-0.0478,1.4196,0.000,22.210,-171.679,0,0,327,151,108,125
1778106782.155184,0,0.995368,0.680986,0.677831,0.9880,0.2310,1.5871,0.000,23.009,-159.152,0,0,166,92,108,122
1778106782.288686,1,0.972409,0.628228,0.610894,0.8455,-0.3456,1.5655,0.000,17.722,169.223,0,0,525,63,124,126
1778106782.288686,2,0.994372,0.664128,0.660390,0.8277,-0.0492,1.4210,-0.000,22.566,-175.488,0,0,326,151,108,120
1778106782.288686,0,0.994884,0.680438,0.676957,0.9852,0.2267,1.5857,0.000,22.517,-158.507,0,0,166,92,108,121
1778106782.355425,2,0.993010,0.664145,0.659502,0.8277,-0.0478,1.4210,0.000,21.411,-174.168,0,0,325,151,107,121
1778106782.355425,1,0.975868,0.628228,0.613068,0.8455,-0.3456,1.5655,0.000,18.552,168.765,0,0,525,63,124,126
1778106782.355425,0,0.997240,0.680438,0.678561,0.9852,0.2267,1.5857,-0.000,21.883,-160.898,0,0,168,92,108,121
1778106782.355425,2,0.991242,0.664161,0.658345,0.8277,-0.0478,1.4210,0.000,21.411,-174.168,0,0,325,151,108,121
