stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778699019.534700,2,0.961289,0.894045,0.859436,0.9479,0.3987,1.3565,-0.000,-0.839,-144.676,0,0,40,156,81,132
1778699019.601440,0,0.986807,0.999879,0.986688,1.1091,-0.0160,1.2520,0.000,0.798,-171.368,0,0,306,233,95,110
1778699019.601440,1,0.975076,0.921595,0.898626,1.1161,-0.4741,1.2824,-0.000,-5.566,154.387,0,0,554,217,107,118
1778699019.601440,2,0.967689,0.894647,0.865740,0.9498,0.3981,1.3570,0.000,-0.353,-146.609,0,0,41,156,82,130
1778699019.601440,0,0.985222,0.999879,0.985103,1.1091,-0.0160,1.2520,0.000,0.930,-170.640,0,0,306,232,95,111
1778699019.601440,1,0.974876,0.921595,0.898441,1.1161,-0.4741,1.2824,0.000,-5.579,154.206,0,0,554,217,107,117
1778699019.601440,2,0.952076,0.894647,0.851772,0.9498,0.3981,1.3570,0.000,-1.074,-142.111,0,0,40,155,81,132
1778699019.701547,0,0.986538,0.999870,0.986410,1.1089,-0.0160,1.2538,0.000,1.147,-171.095,0,0,307,232,96,111
1778699019.701547,1,0.975441,0.921595,0.898962,1.1161,-0.4741,1.2824,0.000,-5.343,153.851,0,0,554,217,107,118
1778699019.701547,2,0.958979,0.893869,0.857202,0.9477,0.3987,1.3581,0.000,-0.925,-144.096,0,0,40,155,81,132
1778699019.768286,0,0.983919,0.999895,0.983816,1.1089,-0.0178,1.2538,0.000,0.584,-170.513,0,0,307,232,96,113
1778699019.768286,1,0.971078,0.921595,0.894941,1.1161,-0.4741,1.2824,-0.000,-6.512,154.057,0,0,554,217,107,117
1778699019.768286,2,0.964590,0.893869,0.862217,0.9477,0.3987,1.3581,-0.000,0.624,-144.009,0,0,40,156,80,130
1778699019.901744,0,0.984623,0.999895,0.984520,1.1089,-0.0178,1.2538,0.000,0.843,-170.621,0,0,307,232,96,113
1778699019.901744,1,0.972725,0.921595,0.896459,1.1161,-0.4741,1.2824,0.000,-6.038,153.793,0,0,554,217,107,118
1778699019.901744,2,0.958850,0.893869,0.857086,0.9497,0.3997,1.3585,0.000,-0.234,-143.162,0,0,40,155,81,132
1778699019.968457,0,0.985258,0.999895,0.985154,1.1059,-0.0179,1.2535,-0.000,0.620,-171.013,0,0,307,232,96,111
1778699019.968457,1,0.975227,0.921550,0.898720,1.1159,-0.4741,1.2843,0.000,-5.466,154.539,0,0,554,216,108,117
1778699019.968457,2,0.956454,0.893869,0.854944,0.9477,0.3987,1.3581,0.000,-0.867,-143.184,0,0,40,155,81,132
1778699020.035195,0,0.985551,0.999895,0.985447,1.1089,-0.0178,1.2538,0.000,0.802,-171.011,0,0,307,232,96,113
1778699020.035195,1,0.973346,0.921595,0.897031,1.1161,-0.4741,1.2824,-0.000,-6.010,154.362,0,0,554,217,107,117
1778699020.035195,2,0.958506,0.894045,0.856948,0.9479,0.3987,1.3565,-0.000,-0.034,-142.724,0,0,40,156,80,130
1778699020.035195,0,0.982801,0.999895,0.982698,1.1089,-0.0178,1.2538,0.000,0.802,-171.011,0,0,307,232,96,113
1778699020.035195,1,0.973093,0.921595,0.896798,1.1161,-0.4741,1.2824,-0.000,-6.010,154.362,0,0,554,217,107,117
1778699020.035195,2,0.959998,0.894045,0.858281,0.9479,0.3987,1.3565,-0.000,-0.034,-142.724,0,0,40,156,80,130
1778699020.135303,0,0.984565,0.999895,0.984461,1.1059,-0.0179,1.2535,0.000,0.940,-170.540,0,0,307,232,96,113
1778699020.135303,1,0.970305,0.921595,0.894228,1.1161,-0.4741,1.2824,0.000,-6.672,153.926,0,0,554,216,107,117
1778699020.135303,2,0.964981,0.894045,0.862736,0.9498,0.3997,1.3570,-0.000,-0.091,-144.977,0,0,40,156,81,130
1778699020.268780,0,0.984126,0.999895,0.984022,1.1089,-0.0178,1.2538,0.000,0.741,-170.494,0,0,307,232,96,113
1778699020.268780,1,0.970812,0.922125,0.895210,1.1159,-0.4723,1.2843,0.000,-6.637,154.971,0,0,553,216,107,117
1778699020.268780,2,0.958696,0.894045,0.857117,0.9498,0.3997,1.3570,0.000,-0.593,-143.450,0,0,40,156,81,130
1778699020.268780,0,0.984742,0.999895,0.984638,1.1089,-0.0178,1.2538,0.000,0.741,-170.494,0,0,307,232,96,113
1778699020.268780,1,0.975332,0.921550,0.898817,1.1159,-0.4723,1.2843,0.000,-6.637,154.971,0,0,554,216,108,117
1778699020.268780,2,0.955562,0.893869,0.854147,0.9498,0.3997,1.3570,0.000,-0.593,-143.450,0,0,40,155,81,132
1778699020.335529,0,0.985076,0.999895,0.984972,1.1089,-0.0178,1.2538,0.000,0.758,-170.850,0,0,307,232,96,113
1778699020.335529,1,0.975231,0.921550,0.898724,1.1159,-0.4741,1.2843,0.000,-5.420,154.323,0,0,554,216,108,117
1778699020.335529,2,0.955585,0.893869,0.854168,0.9477,0.3987,1.3581,-0.000,-1.087,-143.190,0,0,40,155,81,132
1778699020.435646,0,0.985578,0.999895,0.985474,1.1089,-0.0178,1.2538,0.000,0.714,-171.080,0,0,307,232,96,113
1778699020.435646,1,0.972019,0.921550,0.895764,1.1159,-0.4741,1.2843,0.000,-6.089,153.649,0,0,554,216,108,117
1778699020.435646,2,0.953198,0.893869,0.852034,0.9477,0.3987,1.3581,0.000,-1.184,-142.577,0,0,40,156,81,130
1778699020.502423,0,0.984814,0.999895,0.984711,1.1089,-0.0178,1.2538,-0.000,1.070,-170.559,0,0,307,232,96,113
1778699020.502423,1,0.970367,0.921550,0.894241,1.1159,-0.4741,1.2843,0.000,-6.563,153.918,0,0,554,217,107,118
1778699020.502423,2,0.964630,0.894045,0.862422,0.9479,0.3987,1.3565,-0.000,0.069,-144.626,0,0,40,156,81,130
1778699020.502423,0,0.983779,0.999895,0.983676,1.1089,-0.0178,1.2538,-0.000,1.070,-170.559,0,0,307,233,96,111
1778699020.502423,1,0.972620,0.921595,0.896362,1.1159,-0.4741,1.2843,0.000,-6.563,153.918,0,0,554,217,108,118
1778699020.502423,2,0.961449,0.894045,0.859578,0.9479,0.3987,1.3565,-0.000,0.069,-144.626,0,0,40,156,81,130
1778699020.635893,0,0.984575,0.999904,0.984481,1.1091,-0.0178,1.2520,0.000,0.923,-170.496,0,0,307,232,96,113
1778699020.635893,1,0.972951,0.921595,0.896667,1.1161,-0.4741,1.2824,-0.000,-6.000,153.872,0,0,554,217,108,118
1778699020.635893,2,0.958642,0.894045,0.857069,0.9479,0.3987,1.3565,0.000,-0.646,-143.500,0,0,40,155,81,132
1778699020.702631,0,0.982738,0.999895,0.982635,1.1119,-0.0178,1.2541,-0.000,0.876,-169.906,0,0,306,233,96,110
1778699020.702631,1,0.974530,0.921595,0.898122,1.1161,-0.4741,1.2824,0.000,-5.655,154.138,0,0,554,217,108,117
1778699020.702631,2,0.966408,0.893869,0.863842,0.9477,0.3987,1.3581,0.000,0.311,-145.075,0,0,40,155,81,132
1778699020.769374,0,0.982693,0.999879,0.982575,1.1121,-0.0159,1.2523,-0.000,0.051,-170.234,0,0,306,233,96,110
1778699020.769374,1,0.972586,0.921595,0.896331,1.1161,-0.4741,1.2824,0.000,-6.030,153.622,0,0,554,217,107,117
1778699020.769374,2,0.958141,0.893869,0.856452,0.9497,0.3997,1.3585,-0.000,-0.409,-143.149,0,0,40,155,81,132
1778699020.902851,0,0.983857,0.999879,0.983739,1.1091,-0.0160,1.2520,-0.000,0.578,-170.331,0,0,306,233,96,110
1778699020.902851,1,0.971886,0.921595,0.895686,1.1161,-0.4741,1.2824,0.000,-6.266,153.859,0,0,554,217,107,117
1778699020.902851,2,0.962906,0.894045,0.860881,0.9479,0.3987,1.3565,0.000,-0.294,-144.494,0,0,40,156,81,130
1778699020.969584,0,0.985903,0.999870,0.985775,1.1089,-0.0160,1.2538,0.000,1.047,-170.898,0,0,306,232,96,111
1778699020.969584,1,0.974521,0.921595,0.898114,1.1161,-0.4741,1.2824,0.000,-5.710,154.380,0,0,554,217,108,118
1778699020.969584,2,0.962516,0.894045,0.860533,0.9449,0.3973,1.3558,0.000,-0.142,-144.153,0,0,40,156,81,130
1778699021.036324,0,0.987511,0.999879,0.987391,1.1091,-0.0160,1.2520,0.000,1.168,-171.429,0,0,306,233,96,110
1778699021.036324,1,0.978120,0.921595,0.901431,1.1161,-0.4741,1.2824,0.000,-4.720,154.319,0,0,554,217,108,117
