stamp,person_id,a_h,a_r,a_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778698749.555134,2,0.946713,0.900294,0.852320,0.9791,0.3990,1.3558,0.000,0.876,-139.318,0,0,49,161,99,128
1778698749.655241,0,0.976841,0.999827,0.976672,1.0993,-0.0125,1.2491,0.000,-2.302,-169.651,0,0,304,234,96,111
1778698749.655241,1,0.953364,0.919944,0.877042,1.1501,-0.4931,1.3043,-0.000,-9.584,154.280,0,0,556,207,103,109
1778698749.655241,2,0.947084,0.900294,0.852654,0.9791,0.3990,1.3558,0.000,0.976,-139.327,0,0,49,161,99,128
1778698749.788724,0,0.976148,0.999827,0.975979,1.0993,-0.0125,1.2491,0.000,-2.787,-169.846,0,0,304,234,96,111
1778698749.788724,1,0.945140,0.919877,0.869413,1.1499,-0.4931,1.3062,0.000,-11.086,154.958,0,0,556,207,103,109
1778698749.788724,2,0.947637,0.900294,0.853151,0.9791,0.3990,1.3558,-0.000,1.226,-139.267,0,0,49,161,99,128
1778698749.855461,0,0.978035,0.999830,0.977869,1.0995,-0.0125,1.2473,0.000,-2.332,-170.024,0,0,304,235,96,110
1778698749.855461,1,0.944302,0.919877,0.868641,1.1499,-0.4931,1.3062,0.000,-11.223,154.861,0,0,556,207,103,109
1778698749.855461,2,0.946441,0.900294,0.852075,0.9791,0.3990,1.3558,0.000,1.231,-139.001,0,0,49,161,99,126
1778698749.855461,0,0.975989,0.999830,0.975823,1.0995,-0.0125,1.2473,0.000,-2.899,-169.799,0,0,304,235,96,110
1778698749.855461,1,0.944634,0.919877,0.868947,1.1499,-0.4931,1.3062,0.000,-11.227,155.602,0,0,556,207,103,109
1778698749.855461,2,0.946896,0.900294,0.852485,0.9791,0.3990,1.3558,0.000,1.109,-139.188,0,0,49,161,99,128
1778698749.955530,0,0.975659,0.999830,0.975494,1.0995,-0.0125,1.2473,0.000,-2.870,-169.653,0,0,304,235,96,110
1778698749.955530,1,0.939267,0.919877,0.864010,1.1499,-0.4931,1.3062,0.000,-12.125,155.306,0,0,556,207,103,109
1778698749.955530,2,0.947980,0.900294,0.853460,0.9791,0.3990,1.3558,0.000,0.917,-139.571,0,0,49,161,99,128
1778698750.022264,0,0.976007,0.999830,0.975842,1.0995,-0.0125,1.2473,0.000,-2.952,-169.856,0,0,304,235,96,110
1778698750.022264,1,0.945218,0.919877,0.869484,1.1499,-0.4931,1.3062,0.000,-11.127,155.640,0,0,556,207,103,110
1778698750.022264,2,0.947929,0.900294,0.853415,0.9791,0.3990,1.3558,-0.000,0.926,-139.553,0,0,49,161,99,126
1778698750.089003,0,0.978474,0.999830,0.978308,1.0995,-0.0125,1.2473,-0.000,-2.298,-170.157,0,0,304,235,96,110
1778698750.089003,1,0.941942,0.919877,0.866471,1.1499,-0.4931,1.3062,0.000,-11.678,155.392,0,0,556,208,103,110
1778698750.089003,2,0.947078,0.900294,0.852649,0.9791,0.3990,1.3558,0.000,1.073,-139.254,0,0,49,161,99,128
1778698750.222467,0,0.976506,0.999827,0.976337,1.0993,-0.0125,1.2491,0.000,-2.346,-169.571,0,0,304,234,96,109
1778698750.222467,1,0.946174,0.919366,0.869879,1.1501,-0.4950,1.3043,-0.000,-11.021,155.101,0,0,557,208,102,110
1778698750.222467,2,0.948673,0.900460,0.854242,0.9822,0.4004,1.3549,-0.000,1.284,-139.397,0,0,49,162,99,126
1778698750.289203,0,0.977283,0.999827,0.977114,1.0993,-0.0125,1.2491,0.000,-2.074,-169.611,0,0,304,234,96,109
1778698750.289203,1,0.939221,0.919366,0.863487,1.1540,-0.4967,1.3049,0.000,-12.198,154.855,0,0,557,208,103,110
1778698750.289203,2,0.948243,0.900294,0.853698,0.9870,0.4028,1.3577,0.000,1.087,-139.503,0,0,49,161,99,128
1778698750.389303,0,0.977779,0.999830,0.977613,1.0995,-0.0125,1.2473,-0.000,-2.186,-169.800,0,0,304,235,96,110
1778698750.389303,1,0.947800,0.919366,0.871375,1.1501,-0.4950,1.3043,0.000,-10.672,154.544,0,0,557,208,103,110
1778698750.389303,2,0.945301,0.900294,0.851049,0.9821,0.4004,1.3565,0.000,0.435,-139.339,0,0,49,161,99,126
1778698750.456041,0,0.978086,0.999830,0.977920,1.0995,-0.0125,1.2473,-0.000,-2.186,-169.912,0,0,304,235,96,110
