Time,MarkerID,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241719.7241,2,-0.318887,-1.10227,4.012,2.01942,1.07209,1.64605
1770241719.72406,1,-0.285779,-1.10199,4.011,2.01844,1.03898,1.64631
1770241719.75442,0,-0.232283,-0.282964,4.464,1.99603,0.985465,0.710624
1770241719.75451,1,-0.295383,-1.08582,3.992,1.99387,1.04856,1.64194
1770241774.89717,3,-0.317059,-1.085,3.989,1.99085,1.07024,1.64275
1770241774.89713,2,-0.284069,-1.07898,3.987,1.98611,1.03724,1.63857
1770241774.86911,3,-0.304882,-1.06974,3.973,1.96934,1.05804,1.63766
1770241774.86908,2,-0.282858,-1.06894,3.97,1.96636,1.03602,1.63848
1770241719.78849,1,-0.229993,-0.280175,4.42,1.95665,0.983144,0.73043
1770241719.82226,1,-0.325048,-1.06436,3.953,1.94934,1.07819,1.64311
1770241774.8358,2,-0.27107,-1.05457,3.957,1.9479,1.02421,1.63264
1770241774.83583,3,-0.292719,-1.05431,3.956,1.94688,1.04586,1.63292
1770241774.89706,1,-0.228901,-0.278844,4.399,1.93785,0.982037,0.739883
1770241774.8007,2,-0.259156,-1.03949,3.941,1.92648,1.01228,1.6277
1770241774.80074,3,-0.280364,-1.04871,3.935,1.92594,1.03349,1.63869
1770241774.86901,1,-0.227444,-0.277069,4.371,1.91278,0.98056,0.752486
1770241774.83573,1,-0.227184,-0.276752,4.366,1.90831,0.980296,0.754737
1770241774.76786,3,-0.279295,-1.03395,3.92,1.90554,1.03241,1.63352
1770241719.82216,0,-0.226975,-0.276499,4.362,1.90473,0.980085,0.756538
1770241774.76781,2,-0.24689,-1.03343,3.918,1.90358,0.999998,1.63408
1770241719.90379,1,-0.35371,-1.04205,3.91,1.90094,1.10682,1.64556
1770241719.85611,0,-0.226299,-0.275675,4.349,1.89309,0.979399,0.762389
1770241774.74172,2,-0.267302,-1.02921,3.902,1.88762,1.0204,1.63851
1770241719.92139,1,-0.394002,-1.03512,3.884,1.87497,1.14709,1.6527
1770241719.90371,0,-0.224842,-0.2739,4.321,1.86802,0.977922,0.774993
1770241774.8006,1,-0.224842,-0.2739,4.321,1.86802,0.977922,0.774993
1770241774.68539,3,-0.255211,-1.02367,3.881,1.86671,1.00829,1.64433
1770241774.68535,2,-0.233724,-1.01223,3.878,1.85836,0.986797,1.63597
1770241719.96841,2,-0.402059,-1.02846,3.859,1.85002,1.15512,1.65957
1770241719.96837,1,-0.380874,-1.01786,3.859,1.84468,1.13394,1.65043
1770241774.64568,2,-0.222102,-1.00779,3.861,1.84145,0.975161,1.64073
1770241719.92131,0,-0.223021,-0.271681,4.286,1.83669,0.976076,0.790747
1770241774.7677,1,-0.222396,-0.270921,4.274,1.82595,0.975443,0.796149
1770241719.98847,1,-0.389234,-1.01206,3.837,1.82276,1.14228,1.65653
1770241719.98852,2,-0.42083,-1.01206,3.837,1.82273,1.17387,1.65653
1770241774.74164,1,-0.22146,-0.26978,4.256,1.80984,0.974494,0.804251
1770241774.59825,2,-0.209203,-0.99683,3.819,1.79967,0.962229,1.65247
1770241774.5983,3,-0.240651,-0.99683,3.819,1.79965,0.993677,1.65247
1770241720.0335,2,-0.408267,-0.996569,3.818,1.79852,1.16129,1.65275
1770241720.03355,3,-0.428777,-0.995525,3.814,1.79452,1.1818,1.65386
1770241719.96829,0,-0.220523,-0.268639,4.238,1.79373,0.973544,0.812353
1770241719.98838,0,-0.220003,-0.268005,4.228,1.78477,0.973017,0.816855
1770241774.58004,2,-0.208053,-0.991349,3.798,1.77878,0.961062,1.65834
1770241774.58011,3,-0.228903,-0.991349,3.798,1.77876,0.981912,1.65834
1770241720.03342,1,-0.219378,-0.267244,4.216,1.77403,0.972384,0.822256
1770241720.0514,3,-0.436482,-0.989261,3.79,1.77064,1.18948,1.66057
1770241720.05135,2,-0.405273,-0.978857,3.79,1.76541,1.15827,1.65159
1770241774.68527,1,-0.218858,-0.26661,4.206,1.76508,0.971856,0.826758
1770241774.52258,3,-0.222547,-0.986259,3.7785,1.75937,0.97554,1.66379
1770241774.52255,2,-0.196431,-0.974983,3.775,1.75067,0.949418,1.65582
1770241720.05125,1,-0.217921,-0.265469,4.188,1.74897,0.970907,0.83486
1770241774.64559,1,-0.217609,-0.265089,4.182,1.7436,0.97059,0.837561
1770241774.496,3,-0.216177,-0.980908,3.758,1.73898,0.969154,1.66952
1770241774.49596,2,-0.190238,-0.969818,3.755,1.73081,0.943209,1.66146
1770241720.10631,0,-0.216569,-0.263821,4.162,1.72569,0.969535,0.846563
1770241774.44818,2,-0.18968,-0.966977,3.744,1.71988,0.942642,1.66456
1770241720.10647,2,-0.441107,-0.966202,3.741,1.7167,1.19407,1.66541
1770241720.10642,1,-0.420907,-0.9567,3.744,1.71451,1.17387,1.65569
1770241720.14462,1,-0.215684,-0.262744,4.145,1.71047,0.968639,0.854216
1770241720.14476,3,-0.449445,-0.951845,3.725,1.69563,1.20239,1.66109
1770241774.59816,1,-0.214799,-0.261666,4.128,1.69526,0.967742,0.861868
1770241720.14472,2,-0.418546,-0.951334,3.723,1.69367,1.17149,1.66166
1770241774.40359,2,-0.182668,-0.94699,3.706,1.67699,0.935596,1.66649
1770241774.57993,1,-0.213707,-0.260335,4.107,1.67646,0.966634,0.87132
1770241720.18601,2,-0.446549,-0.945712,3.701,1.67182,1.19947,1.66791
1770241720.3391,0,-0.213238,-0.259764,4.098,1.6684,0.96616,0.875372
1770241772.47167,0,-2.84076,0.105443,4.313,1.66753,3.59368,0.451579
1770241774.38377,3,-0.212208,-0.942646,3.689,1.6601,0.965122,1.67132
1770241720.18591,1,-0.415286,-0.933784,3.694,1.65978,1.1682,1.66115
1770241720.38852,0,-0.212718,-0.259131,4.088,1.65945,0.965632,0.879873
1770241774.52247,1,-0.212562,-0.25894,4.085,1.65676,0.965474,0.881223
1770241774.38372,2,-0.18188,-0.932773,3.69,1.656,0.934791,1.6623
1770241720.22037,2,-0.454857,-0.931762,3.686,1.65182,1.20777,1.66344
1770241720.2203,1,-0.423929,-0.930498,3.681,1.64689,1.17683,1.66488
1770241774.33914,2,-0.181337,-0.929992,3.679,1.6451,0.93424,1.66545
1770241774.49583,1,-0.211625,-0.257799,4.067,1.64065,0.964524,0.889326
1770241720.41958,0,-0.211001,-0.257039,4.055,1.62991,0.963891,0.894727
1770241774.31973,2,-0.210597,-0.925442,3.661,1.62725,0.963486,1.67061
1770241774.27255,3,-0.209964,-0.922662,3.65,1.61635,0.962844,1.67376
1770241720.2635,1,-0.420934,-0.913893,3.655,1.61607,1.17381,1.66367
1770241720.2636,2,-0.450476,-0.917777,3.6505,1.61412,1.20335,1.66929
1770241774.4481,1,-0.20996,-0.255771,4.035,1.61201,0.962837,0.90373
1770241720.28251,1,-0.437407,-0.911705,3.64625,1.6074,1.19028,1.6662
1770241774.27251,2,-0.184667,-0.911393,3.645,1.60636,0.937539,1.66656
1770241720.4628,0,-0.208711,-0.25425,4.011,1.59052,0.961571,0.914533
1770241774.22549,2,-0.188782,-0.907142,3.628,1.58954,0.94164,1.67147
1770241774.40352,1,-0.208295,-0.253743,4.003,1.58336,0.961149,0.918134
1770241774.38363,1,-0.208191,-0.253616,4.001,1.58157,0.961043,0.919034
1770241774.18682,3,-0.217874,-0.903892,3.615,1.57665,0.970722,1.67523
1770241774.18679,2,-0.193281,-0.894958,3.619,1.57562,0.946128,1.6655
1770241774.33906,1,-0.207775,-0.253109,3.993,1.57441,0.960621,0.922635
1770241774.14597,3,-0.227355,-0.892238,3.608,1.56472,0.980194,1.6687
1770241774.14593,2,-0.202371,-0.891249,3.604,1.56079,0.955206,1.66987
1770241720.33924,2,-0.447618,-0.883839,3.60067,1.55397,1.20045,1.66516
1770241774.31966,1,-0.206318,-0.251334,3.965,1.54934,0.959144,0.935239
1770241720.4888,0,-0.206214,-0.251207,3.963,1.54755,0.959039,0.936139
1770241720.33919,1,-0.418725,-0.878666,3.593,1.54477,1.17155,1.66456
1770241774.10053,3,-0.241042,-0.878055,3.5905,1.54244,0.993863,1.66529
1770241774.27242,1,-0.205589,-0.250446,3.951,1.53681,0.958406,0.941541
1770241774.10047,2,-0.215824,-0.875731,3.581,1.53309,0.968638,1.66809
1770241774.2254,1,-0.205017,-0.249749,3.94,1.52697,0.957826,0.946492
1770241774.06906,3,-0.248268,-0.868045,3.57633,1.52515,1.00108,1.66381
1770241720.38861,1,-0.416915,-0.865056,3.5775,1.52452,1.16972,1.66064
