Time,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241763.49298,0.969237,-0.317941,2.198,-0.12104,-0.544909,1.77268
1770241755.84544,0.967279,-0.347861,2.56,0.468276,-0.54431,1.77364
1770241763.4511,0.969237,-0.317941,2.198,-0.115759,-0.542461,1.77075
1770241763.4467,0.969237,-0.317941,2.198,-0.106921,-0.538618,1.76667
1770241763.40134,0.969237,-0.317941,2.198,-0.101125,-0.535826,1.76469
1770241763.5823,0.955405,-0.308257,2.184,-0.131393,-0.530864,1.76186
1770241763.53751,0.955405,-0.308257,2.184,-0.127514,-0.528574,1.76186
1770241755.84539,0.955645,-0.340824,2.541,0.459377,-0.524648,1.76274
1770241755.75809,0.955645,-0.340824,2.541,0.45966,-0.524492,1.76247
1770241755.66739,0.946734,-0.340824,2.541,0.463721,-0.516561,1.76247
1770241755.7133,0.946734,-0.340824,2.541,0.463721,-0.516561,1.76247
1770241763.89145,0.89572,-0.306379,2.226,-0.0773991,-0.510029,1.77919
1770241763.58235,0.918843,-0.302476,2.17,-0.122688,-0.494278,1.75414
1770241763.89142,0.884453,-0.302525,2.198,-0.0934067,-0.485982,1.76962
1770241763.89137,0.886478,-0.29294,2.184,-0.10504,-0.481241,1.75649
1770241763.80475,0.886478,-0.29294,2.184,-0.105401,-0.481125,1.75744
1770241763.66869,0.907411,-0.298713,2.143,-0.139954,-0.470728,1.74826
1770241763.71441,0.899896,-0.298713,2.143,-0.141271,-0.466223,1.75317
1770241763.66873,0.899896,-0.298713,2.143,-0.138365,-0.46541,1.75051
1770241763.75941,0.892381,-0.30247,2.143,-0.142694,-0.461294,1.76151
1770241763.71446,0.892381,-0.30247,2.143,-0.141136,-0.460521,1.76104
1770241765.76984,1.01139,-0.302234,1.926,-0.432866,-0.449775,1.74962
1770241765.63852,1.01324,-0.300409,1.936,-0.401594,-0.447932,1.74392
1770241765.59264,1.01324,-0.300409,1.936,-0.395742,-0.445143,1.74392
1770241765.5926,1.01324,-0.300409,1.936,-0.388577,-0.441699,1.74392
1770241765.54717,1.00985,-0.29362,1.936,-0.382033,-0.438556,1.73487
1770241765.41489,1.00535,-0.298702,1.947,-0.359669,-0.436522,1.73717
1770241765.72441,1.00561,-0.300508,1.915,-0.42954,-0.435829,1.74375
1770241765.50298,1.00646,-0.300409,1.936,-0.377748,-0.434252,1.73977
1770241765.72438,1.00561,-0.300508,1.915,-0.424549,-0.43396,1.74248
1770241765.81474,0.999835,-0.292105,1.904,-0.449498,-0.431448,1.73733
1770241765.72432,1.00225,-0.297151,1.915,-0.417503,-0.42979,1.73797
1770241766.441,0.988104,-0.305414,1.863,-0.558781,-0.426901,1.75613
1770241765.50291,1.00126,-0.298857,1.926,-0.379829,-0.423497,1.73549
1770241765.8605,0.98684,-0.287349,1.873,-0.475687,-0.40771,1.72768
1770241765.86045,0.983556,-0.287349,1.873,-0.46991,-0.403372,1.72768
1770241765.94696,0.981571,-0.289082,1.863,-0.487933,-0.399823,1.73009
1770241765.94691,0.981571,-0.285815,1.863,-0.484018,-0.399018,1.72566
1770241728.8082,1.01986,-0.298782,1.904,-0.372043,-0.397031,1.76373
1770241766.39516,0.972193,-0.300496,1.833,-0.56761,-0.395428,1.7452
1770241765.99283,0.976302,-0.284281,1.853,-0.503973,-0.395038,1.72467
1770241765.99279,0.976302,-0.284281,1.853,-0.496002,-0.391561,1.72467
1770241766.16984,0.971034,-0.292441,1.843,-0.525055,-0.390572,1.73133
1770241766.03755,0.971034,-0.28921,1.843,-0.515643,-0.387134,1.72792
1770241766.16995,0.968979,-0.297282,1.833,-0.543065,-0.386092,1.73688
1770241766.39513,0.966889,-0.29566,1.823,-0.569533,-0.385163,1.73803
1770241766.39501,0.966889,-0.29566,1.823,-0.567638,-0.384684,1.73725
1770241766.26027,0.966889,-0.298857,1.823,-0.564202,-0.383332,1.73894
1770241766.1699,0.965765,-0.290854,1.833,-0.535071,-0.382454,1.7294
1770241766.26022,0.966889,-0.298857,1.823,-0.560304,-0.381752,1.73894
1770241766.21531,0.963692,-0.29566,1.823,-0.552753,-0.377807,1.73484
1770241728.85445,1.00326,-0.293917,1.873,-0.39543,-0.370672,1.75365
1770241766.48643,0.956812,-0.295742,1.804,-0.587213,-0.368393,1.73743
1770241728.98957,0.992547,-0.290779,1.853,-0.434637,-0.365367,1.74714
1770241728.85449,0.992547,-0.290779,1.853,-0.412017,-0.354382,1.74714
1770241728.94408,0.981834,-0.28764,1.833,-0.436626,-0.341957,1.74064
1770241754.32881,0.649164,-0.214996,2.381,0.25937,-0.341262,1.75141
1770241728.89952,0.981834,-0.28764,1.833,-0.429472,-0.338484,1.74064
1770241753.97052,0.696671,-0.255641,2.226,0.0524769,-0.317053,1.80015
1770241754.28317,0.636077,-0.210662,2.333,0.218828,-0.310036,1.74505
1770241754.01577,0.688865,-0.251738,2.226,0.0598466,-0.309796,1.79475
1770241754.28312,0.651559,-0.22391,2.301,0.174845,-0.308773,1.75726
1770241754.01582,0.688865,-0.251738,2.226,0.0644948,-0.307917,1.79059
1770241754.23827,0.647311,-0.222451,2.286,0.160142,-0.299588,1.75767
1770241754.19215,0.647046,-0.224973,2.271,0.144554,-0.29236,1.76042
1770241754.19212,0.650683,-0.227442,2.256,0.1283,-0.287685,1.76172
1770241754.06113,0.672898,-0.250155,2.212,0.0675497,-0.284626,1.78253
1770241754.10596,0.672898,-0.250155,2.212,0.0722961,-0.282204,1.77933
1770241754.19208,0.646357,-0.22593,2.241,0.117082,-0.276735,1.75904
1770241753.03213,0.835185,-0.380233,1.894,-0.181667,-0.173982,1.81338
1770241769.57184,0.864671,-0.263774,1.609,-0.576725,-0.170482,1.57879
1770241769.48249,0.860372,-0.262463,1.601,-0.591402,-0.164726,1.58464
1770241423.39518,0.562057,-0.678163,3.01,1.36158,-0.15023,1.98021
1770241769.53379,0.852311,-0.260004,1.586,-0.590433,-0.14757,1.57562
1770241769.6161,0.852311,-0.260004,1.586,-0.583679,-0.146495,1.56938
1770241769.52734,0.848549,-0.258856,1.579,-0.597109,-0.141414,1.57559
1770241769.6611,0.848549,-0.258856,1.579,-0.583021,-0.138502,1.56471
1770241753.03207,0.811715,-0.37401,1.863,-0.189197,-0.13608,1.7988
1770241423.31643,0.551502,-0.667608,3.01,1.3738,-0.132328,1.96349
1770241423.39522,0.552347,-0.666447,2.958,1.30886,-0.131765,1.97184
1770241752.94556,0.807358,-0.372002,1.853,-0.188411,-0.124448,1.79143
1770241423.29624,0.551502,-0.667608,3.01,1.38296,-0.122679,1.95525
1770241769.66115,0.840488,-0.256397,1.564,-0.586058,-0.122179,1.55852
1770241423.44635,0.543011,-0.644985,2.908,1.25956,-0.112715,1.95384
1770241752.94549,0.79977,-0.38292,1.843,-0.18704,-0.108382,1.79721
1770241769.7056,0.832965,-0.254102,1.55,-0.589671,-0.1076,1.55174
1770241423.49394,0.538343,-0.634385,2.883,1.23212,-0.104998,1.9491
1770241427.05988,0.295296,-0.32342,3.208,1.54633,-0.10315,1.84026
1770241752.89981,0.796538,-0.389383,1.843,-0.178877,-0.101583,1.7998
1770241423.53974,0.528848,-0.614066,2.859,1.20039,-0.101312,1.94087
1770241423.49399,0.533861,-0.629104,2.859,1.20599,-0.0969089,1.94912
1770241423.29618,0.530392,-0.646498,3.01,1.39872,-0.0963502,1.92702
1770241423.23026,0.5245,-0.641647,3.037,1.43156,-0.0955159,1.91738
1770241769.74918,0.825441,-0.251807,1.536,-0.592843,-0.0927686,1.5451
1770241752.89979,0.792216,-0.38727,1.833,-0.178008,-0.0897354,1.79251
1770241423.19711,0.5245,-0.641647,3.037,1.43736,-0.0895653,1.91092
1770241427.05983,0.292535,-0.320395,3.178,1.51981,-0.08828,1.83694
1770241427.0673,0.263994,-0.320767,3.238,1.58807,-0.0874979,1.83727
1770241427.15927,0.263994,-0.320767,3.238,1.58974,-0.0869339,1.83266
1770241769.79346,0.821679,-0.250659,1.529,-0.592201,-0.0847978,1.54021
1770241427.02153,0.300908,-0.306429,3.149,1.49114,-0.0837886,1.82288
