stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778096829.260529,1,0.971999,0.717006,0.696929,1.0628,-0.1273,1.5449,0.000,8.312,176.902,0,0,366,131,95,113
1778096829.260529,1,0.975093,0.717006,0.699148,1.0628,-0.1273,1.5449,0.000,8.312,176.902,0,0,366,131,95,113
1778096829.327280,1,0.974129,0.717006,0.698457,1.0628,-0.1273,1.5449,0.000,8.953,177.446,0,0,366,132,96,114
1778096829.360649,1,0.978558,0.716873,0.701502,1.0604,-0.1270,1.5420,-0.000,9.952,176.935,0,0,367,131,96,113
1778096829.360649,1,0.977871,0.716958,0.701092,1.0604,-0.1270,1.5420,-0.000,9.952,176.935,0,0,367,132,96,114
1778096829.427387,1,0.977349,0.717450,0.701199,1.0632,-0.1291,1.5431,-0.000,9.690,177.224,0,0,367,131,96,114
1778096829.427387,1,0.976514,0.716958,0.700119,1.0632,-0.1291,1.5431,-0.000,9.690,177.224,0,0,366,131,95,114
1778096829.460739,1,0.976208,0.717006,0.699947,1.0628,-0.1291,1.5449,0.000,9.683,177.761,0,0,367,131,96,114
1778096829.527473,1,0.974259,0.716958,0.698503,1.0628,-0.1291,1.5449,0.000,9.185,178.172,0,0,367,131,96,115
1778096829.560843,1,0.974649,0.716958,0.698782,1.0628,-0.1291,1.5449,0.000,9.035,177.100,0,0,367,131,96,114
1778096829.560843,1,0.974159,0.716958,0.698431,1.0628,-0.1291,1.5449,0.000,9.035,177.100,0,0,367,131,96,111
1778096829.627581,1,0.975063,0.716958,0.699079,1.0628,-0.1291,1.5449,0.000,9.075,176.720,0,0,367,130,96,113
1778096829.660948,1,0.974372,0.716466,0.698104,1.0625,-0.1291,1.5468,0.000,8.919,176.220,0,0,367,131,97,113
1778096829.660948,1,0.973456,0.716334,0.697320,1.0625,-0.1291,1.5468,0.000,8.919,176.220,0,0,368,130,96,113
1778096829.727683,1,0.973582,0.715168,0.696275,1.0568,-0.1304,1.5445,0.000,8.684,175.861,0,0,368,130,96,113
1778096829.727683,1,0.973387,0.715168,0.696135,1.0568,-0.1304,1.5445,0.000,8.684,175.861,0,0,368,131,96,113
1778096829.761056,1,0.976680,0.716909,0.700190,1.0568,-0.1304,1.5445,0.000,8.711,176.455,0,0,369,131,96,114
1778096829.827781,1,0.978018,0.715609,0.699879,1.0572,-0.1323,1.5427,0.000,9.805,176.132,0,0,369,132,96,114
1778096829.861151,1,0.977950,0.716726,0.700922,1.0604,-0.1326,1.5420,-0.000,9.738,176.441,0,0,369,132,96,111
1778096829.861151,1,0.976272,0.716726,0.699719,1.0604,-0.1326,1.5420,-0.000,9.738,176.441,0,0,369,134,97,110
1778096829.894533,1,0.978957,0.718335,0.703219,1.0604,-0.1326,1.5420,0.000,9.311,176.620,0,0,370,133,96,109
1778096829.961272,1,0.977575,0.717792,0.701696,1.0636,-0.1347,1.5413,-0.000,10.083,178.462,0,0,370,133,94,107
1778096829.961272,1,0.975761,0.717792,0.700393,1.0636,-0.1347,1.5413,-0.000,10.083,178.462,0,0,371,133,96,110
1778096829.994641,1,0.975198,0.716489,0.698718,1.0636,-0.1347,1.5413,0.000,9.130,176.812,0,0,371,131,96,109
1778096830.061385,1,0.970547,0.716134,0.695042,1.0600,-0.1363,1.5438,0.000,8.471,178.601,0,0,371,132,95,111
1778096830.094754,1,0.966701,0.716625,0.692762,1.0604,-0.1363,1.5420,0.000,7.487,178.740,0,0,372,131,96,113
1778096830.128124,1,0.967722,0.716082,0.692968,1.0600,-0.1381,1.5438,0.000,8.076,179.373,0,0,371,132,97,113
1778096830.161494,1,0.968497,0.716625,0.694049,1.0604,-0.1363,1.5420,0.000,8.223,179.610,0,0,371,132,95,113
1778096830.194862,1,0.968514,0.715998,0.693455,1.0576,-0.1360,1.5409,0.000,8.300,179.794,0,0,372,132,96,111
1778096830.228226,1,0.963912,0.715947,0.690109,1.0576,-0.1378,1.5409,-0.000,7.554,-179.431,0,0,372,132,96,111
1778096830.261595,1,0.964100,0.715947,0.690245,1.0576,-0.1378,1.5409,0.000,7.225,179.647,0,0,372,132,96,111
1778096830.294965,1,0.973963,0.715947,0.697306,1.0576,-0.1378,1.5409,0.000,9.438,179.001,0,0,372,132,96,113
1778096830.294965,1,0.975025,0.715947,0.698066,1.0576,-0.1378,1.5409,0.000,9.438,179.001,0,0,373,132,96,111
1778096830.395025,1,0.977565,0.715895,0.699833,1.0576,-0.1397,1.5409,0.000,10.092,177.931,0,0,373,132,96,114
1778096830.395025,1,0.973215,0.715895,0.696719,1.0576,-0.1397,1.5409,0.000,10.092,177.931,0,0,373,132,96,114
1778096830.461764,1,0.974414,0.715895,0.697578,1.0576,-0.1397,1.5409,-0.000,9.304,178.192,0,0,373,132,96,114
1778096830.495145,1,0.975171,0.716521,0.698730,1.0604,-0.1400,1.5420,0.000,9.274,177.414,0,0,373,132,97,114
1778096830.495145,1,0.976129,0.716521,0.699416,1.0604,-0.1400,1.5420,0.000,9.713,178.011,0,0,373,132,97,113
1778096830.561872,1,0.975732,0.716521,0.699132,1.0604,-0.1400,1.5420,0.000,9.513,177.719,0,0,373,132,95,111
