stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778699177.331500,0,0.987536,0.999950,0.987486,1.1119,-0.0233,1.2541,0.000,-0.905,-173.748,0,0,310,232,96,114
1778699177.331500,1,0.955558,0.916801,0.876057,1.1284,-0.4946,1.2897,0.000,-9.920,155.722,0,0,562,214,107,113
1778699177.331500,2,0.972122,0.893843,0.868924,0.9842,0.4193,1.3553,-0.000,0.705,-145.794,0,0,37,161,75,129
1778699177.331500,0,0.987117,0.999950,0.987067,1.1119,-0.0233,1.2541,0.000,-0.905,-173.748,0,0,310,232,96,114
1778699177.331500,1,0.958738,0.916801,0.878972,1.1284,-0.4946,1.2897,0.000,-9.920,155.722,0,0,562,214,105,113
1778699177.331500,2,0.963533,0.893073,0.860505,0.9842,0.4193,1.3553,-0.000,0.705,-145.794,0,0,38,161,76,129
1778699177.498343,0,0.986520,0.999950,0.986471,1.1119,-0.0233,1.2541,0.000,-1.066,-173.377,0,0,310,232,96,114
1778699177.498343,1,0.960523,0.916801,0.880609,1.1284,-0.4946,1.2897,0.000,-8.927,156.956,0,0,562,215,106,114
1778699177.498343,2,0.964636,0.893680,0.862076,0.9840,0.4193,1.3570,0.000,0.521,-143.372,0,0,37,162,74,128
1778699177.565076,0,0.986978,0.999950,0.986928,1.1119,-0.0233,1.2541,0.000,-0.939,-173.477,0,0,310,232,96,114
1778699177.565076,1,0.956386,0.916851,0.876863,1.1246,-0.4928,1.2873,-0.000,-9.859,156.644,0,0,562,214,106,113
1778699177.565076,2,0.971806,0.893235,0.868051,0.9871,0.4224,1.3560,0.000,1.737,-144.296,0,0,38,163,76,128
1778699177.631815,0,0.986867,0.999950,0.986818,1.1119,-0.0233,1.2541,-0.000,-1.256,-173.801,0,0,310,232,96,113
1778699177.631815,1,0.955645,0.916801,0.876136,1.1284,-0.4946,1.2897,0.000,-9.914,156.524,0,0,562,214,106,115
1778699177.631815,2,0.965666,0.894003,0.863308,0.9843,0.4193,1.3537,0.000,0.245,-143.837,0,0,38,162,76,130
1778699177.765275,0,0.986618,0.999950,0.986569,1.1119,-0.0233,1.2541,-0.000,-1.527,-174.015,0,0,310,232,96,113
1778699177.765275,1,0.955038,0.916801,0.875580,1.1245,-0.4928,1.2892,0.000,-10.001,155.323,0,0,562,214,107,113
1778699177.765275,2,0.981290,0.893235,0.876523,0.9842,0.4209,1.3553,0.000,1.738,-148.784,0,0,37,162,75,126
1778699177.765275,0,0.987436,0.999950,0.987387,1.1089,-0.0233,1.2538,-0.000,-1.263,-174.148,0,0,310,232,96,114
