stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778107320.645025,3,0.970141,0.695443,0.674678,0.8354,0.2770,1.6027,-0.000,15.742,-151.730,0,0,116,102,116,130
1778107320.645025,13,0.997119,0.775139,0.772906,0.9567,-0.0789,1.4337,0.000,12.792,-179.765,0,0,343,230,96,110
1778107320.645025,5,0.949870,0.713858,0.678073,0.9282,-0.4726,1.5734,0.000,29.235,161.205,0,0,579,144,118,125
1778107320.845201,3,0.966707,0.695030,0.671890,0.8349,0.2754,1.6042,0.000,15.171,-151.945,0,0,116,101,116,133
1778107320.845201,13,0.992072,0.775350,0.769203,0.9591,-0.0791,1.4362,0.000,12.219,-178.270,0,0,343,229,98,113
1778107320.845201,5,0.957238,0.714273,0.683730,0.9222,-0.4749,1.5723,0.000,19.921,170.630,0,0,579,145,115,129
1778107320.845201,3,0.968121,0.695030,0.672873,0.8349,0.2754,1.6042,-0.000,15.376,-152.294,0,0,116,102,117,132
1778107320.845201,13,0.993479,0.775350,0.770294,0.9591,-0.0791,1.4362,-0.000,12.406,-179.171,0,0,343,229,98,111
1778107320.845201,5,0.980683,0.714273,0.700475,0.9222,-0.4749,1.5723,0.000,19.046,164.017,0,0,580,142,117,132
1778107320.945309,3,0.968860,0.696041,0.674367,0.8380,0.2765,1.6043,-0.000,15.428,-152.415,0,0,117,102,116,129
1778107320.945309,13,0.996242,0.775350,0.772436,0.9591,-0.0791,1.4362,0.000,13.522,179.608,0,0,344,229,96,111
1778107320.945309,5,0.991839,0.711456,0.705650,0.9135,-0.4728,1.5735,0.000,21.274,160.235,0,0,581,142,118,130
1778107320.945309,3,0.965642,0.696130,0.672213,0.8380,0.2765,1.6043,-0.000,15.428,-152.415,0,0,117,102,116,130
1778107320.945309,13,0.994826,0.775315,0.771303,0.9591,-0.0791,1.4362,0.000,13.522,179.608,0,0,343,230,95,110
1778107320.945309,5,0.988819,0.711298,0.703345,0.9135,-0.4728,1.5735,0.000,21.274,160.235,0,0,580,143,120,132
1778107321.012063,3,0.968452,0.696130,0.674169,0.8380,0.2749,1.6043,0.000,14.865,-151.996,0,0,118,103,116,130
1778107321.012063,13,0.987668,0.710976,0.702209,0.9591,-0.0807,1.4362,-0.000,14.008,-178.508,0,0,580,143,120,132
1778107321.012063,5,0.994695,0.775821,0.771705,0.9135,-0.4745,1.5735,0.000,19.147,160.426,0,0,344,231,96,111
1778107321.178909,3,0.966503,0.696219,0.672898,0.8380,0.2734,1.6043,0.000,15.409,-151.374,0,0,118,102,116,132
1778107321.178909,5,0.995332,0.776222,0.772598,0.9600,-0.0824,1.4331,-0.000,12.073,176.477,0,0,345,231,95,111
1778107321.178909,13,0.987278,0.713760,0.704680,0.9204,-0.4756,1.5714,-0.000,22.883,162.797,0,0,580,145,119,128
1778107321.178909,3,0.966414,0.696219,0.672835,0.8380,0.2734,1.6043,0.000,15.409,-151.374,0,0,118,103,117,130
1778107321.178909,13,0.995339,0.776222,0.772604,0.9600,-0.0824,1.4331,-0.000,12.073,176.477,0,0,345,231,94,110
1778107321.178909,5,0.985949,0.713760,0.703731,0.9204,-0.4756,1.5714,-0.000,22.883,162.797,0,0,579,141,120,128
1778107321.279017,3,0.963317,0.697032,0.671463,0.8403,0.2741,1.6039,0.000,14.941,-150.571,0,0,119,103,116,130
1778107321.279017,13,0.995665,0.776901,0.773533,0.9629,-0.0826,1.4340,-0.000,12.275,177.110,0,0,345,229,95,111
1778107321.279017,5,0.996238,0.710309,0.707637,0.9085,-0.4689,1.5728,0.000,21.846,157.764,0,0,577,145,117,133
1778107321.345756,3,0.964974,0.697518,0.673087,0.8420,0.2732,1.6049,0.000,15.372,-150.652,0,0,119,103,116,130
1778107321.345756,13,0.994308,0.775958,0.771541,0.9619,-0.0826,1.4372,-0.000,11.719,177.429,0,0,345,230,95,110
